screen_name,id,created_at,trucated text
WittgensteinsR,1460568972357779457,2021-11-16 11:22:33,b'@robertpijkeren #WNW https://t.co/KzVsxHwv6g'
MichielKlomp75,1460568962496925703,2021-11-16 11:22:31,"b""@complotremover Ik kan serieus m'n lach niet meer inhouden met Willempie......\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 #stopwillemengel #WNW https://t.co/9rxyGoL3Z3"""
WittgensteinsR,1460568867613384705,2021-11-16 11:22:08,b'@robertpijkeren #WNW https://t.co/y6zGBf7rzi'
WittgensteinsR,1460568782611652613,2021-11-16 11:21:48,b'@JennifervdBelt @robertpijkeren #WNW https://t.co/9T27YBHREY'
WittgensteinsR,1460568645600489472,2021-11-16 11:21:15,b'@robertpijkeren #WNW https://t.co/26Sx5K66LT'
WittgensteinsR,1460568558879092739,2021-11-16 11:20:55,b'@robertpijkeren #WNW https://t.co/GeJqEPXjJQ'
WittgensteinsR,1460568393300463617,2021-11-16 11:20:15,b'@robertpijkeren #WNW https://t.co/HE29Xb3jwd'
WittgensteinsR,1460568280440217601,2021-11-16 11:19:48,b'@robertpijkeren #WNW https://t.co/II8kBhcTbw'
WittgensteinsR,1460568102257713155,2021-11-16 11:19:06,b'@TheoHorneman @robertpijkeren #WNW https://t.co/ojK0i7FGGI'
WittgensteinsR,1460567879682867203,2021-11-16 11:18:13,b'@Urwrstnghtmare2 @robertpijkeren #WNW https://t.co/Qpv3A2d0Kl'
Stilste,1460567466778759170,2021-11-16 11:16:34,b'@GamevipN #wnw https://t.co/WB6H7XbReg'
FHeijblom,1460566041323577344,2021-11-16 11:10:54,b'@PaulieG25643354 @Luckyclay1 @hugodejonge #wnw\nhttps://t.co/3dyZProcou'
FHeijblom,1460565963410190345,2021-11-16 11:10:36,b'@PaulieG25643354 @WeedFlaminRacer @Luckyclay1 @hugodejonge #wnw https://t.co/mcqhIeMro5'
FHeijblom,1460565854114959360,2021-11-16 11:10:10,b'@PaulieG25643354 @WeedFlaminRacer @Luckyclay1 @hugodejonge #wnw https://t.co/F6NJD0NLho'
